SELECT * FROM amazon_sql WHERE name LIKE '%Gaming%', , , , 
Indexing Type,Columns,Execution Time (s),Rows Returned,Space Utilization
Base,N/A,0.00410008430480957,0,532.0
Individual,Name,0.00043320655822753906,0,584.0
Individual,Description,0.0003509521484375,0,976.0
Individual,Price,0.0002639293670654297,0,988.0
Individual,Rating,0.00028395652770996094,0,992.0
Individual,Availability,0.0002601146697998047,0,1004.0
Complex,"('Name', 'Description')",0.0002579689025878906,0,1620.0
Complex,"('Price', 'Rating')",0.00021576881408691406,0,1632.0
Complex,"('Availability', 'Store')",0.0002129077911376953,0,1652.0
