N,a,m,e, ,a,n,d, ,D,e,s,c,r,i,p,t,i,o,n
Indexing Type,Columns,Execution Time(s),Rows Returned,Space Utilization
N/A,N/A,0.12785005569458008,6407,53080
Simple,Name,0.0781240463256836,6407,53080
Simple,Description,0.08361005783081055,6407,53080
Simple,Price,0.13596510887145996,6407,53080
Simple,Rating,0.07469892501831055,6407,53080
Simple,Availability,0.07772707939147949,6407,53080
Compound,"Name, Description",0.07418489456176758,6407,53080
Compound,"Price, Rating",0.089385986328125,6407,53080
